"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"VHCL Industries"|"Final"|"10.00"|"14-08-2012"|"-"|"20-09-2012"
"Keynote Finance"|"Final"|"15.00"|"10-08-2012"|"-"|"20-09-2012"
"Kwality"|"Final"|"10.00"|"14-08-2012"|"-"|"20-09-2012"
"KGN Enterprises"|"Final"|"0.50"|"17-09-2012"|"-"|"20-09-2012"
"Karur KCP"|"Final"|"10.00"|"22-08-2012"|"-"|"20-09-2012"
"Kernex Micro"|"Final"|"10.00"|"28-05-2012"|"-"|"20-09-2012"
"The Byke Hosp"|"Final"|"10.00"|"14-08-2012"|"-"|"20-09-2012"
"Ladderup Fin"|"Final"|"7.50"|"29-05-2012"|"-"|"20-09-2012"
"Lahoti Over"|"Final"|"20.00"|"29-05-2012"|"-"|"20-09-2012"
"Lincoln Pharma"|"Final"|"6.00"|"14-08-2012"|"-"|"20-09-2012"
"Medi-Caps"|"Final"|"15.00"|"13-08-2012"|"-"|"20-09-2012"
"Manjeera Const"|"Final"|"12.00"|"29-05-2012"|"-"|"20-09-2012"
"Mohit Ind"|"Final"|"15.00"|"24-08-2012"|"-"|"20-09-2012"
"JSW Ispat Speci"|"Final"|"25.00"|"06-08-2012"|"-"|"20-09-2012"
"Mahaveer Info"|"Final"|"2.50"|"29-05-2012"|"-"|"20-09-2012"
"Mahalaxmi Rub"|"Final"|"5.00"|"31-05-2012"|"-"|"20-09-2012"
"Nile"|"Final"|"20.00"|"23-07-2012"|"-"|"20-09-2012"
"Nandan Denim"|"Final"|"10.00"|"13-08-2012"|"-"|"20-09-2012"
